naics_2d,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
NA,169,1214,3118.12,15092.09,837.4091411042945,173209.82,24713.72
11,112,6305,21475.39,14558.98,3297.9533027522934,267668.52,54927.66
21,1106,31614,65175.84,1379780.82,12475.393220494054,8797664.43,2108344.3
22,566,1935,5007.05,988356.61,30301.59118584071,6043028.5,1547176.78
23,306,1769,10436.1,35244.34,4912.625131578948,1643800.12,100754.66
31-33,46801,2145955,8811580.65,13892080.69,5686.146488092656,222678514.85999998,31962038.18
42,631,40195,9931.1,155150.94,11531.427987117553,12653954.54,325309.01
44,242,2237,18446.64,355090.8,21168.330416666668,8297150.53,706041.82
45-46,185,6122,59677.54,286775.38,26335.077912087912,8917813.03,616513.7
48-49,388,2385,7930.63,673070.9,26432.6432987013,8161825.73,1236194.26
51,4365,270407,999016.05,4010882.49,14504.932167487685,31074249.25,9398621.72
52,1080,9997,4098.45,296440.24,299182.49307042256,18201842.14,7276756.52
53,459,8334,13168.69,32596.22,1446.701703539823,234061.76,59792.98
54,1647,93357,258055.71,218963.11,2893.9919183168317,4803656.16,541141.03
56,339,993,2074.93,34899.93,2186.5893393393394,505233.06,112962.53
61,24,42,52.46,886.35,1275.5560869565218,23553.31,3331.5
62,324,1663,3290.06,18757.84,1990.9594603174603,667042.75,83076.77
71,51,2810,1198.44,5555.23,3204.5382222222224,72241.97,16194.220000000001
72,142,374,263.19,44699.19,4807.82560283688,492829.94,119253.26
81,43,61,58.83,1166.22,597.69,35904.13,5541.09
99,397,103452,295909.25,468813.47,46818.84529562982,6907824.83,1259626.11
