region,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
Asia Pacific,1,260,5090,35463.04,50221.1,7945.108192307693,1986027.04,217106.59
Asia Pacific,2,1147,146481,570078.36,1215064.26,16883.451457242583,17141347.83,1718196.4
Asia Pacific,3,2671,307453,697255.85,965980.25,9175.434193912062,20401443.49,2042304.51
Asia Pacific,4,60,823,14684.38,471092.51,66827.87933333333,3304042.95,563531.3099999999
Asia Pacific,5,1057,34551,141941.2,253728.05,6007.593831598865,4926076.77,664479.6
Asia Pacific,6,2274,476834,741613.4,1251250.49,7488.375910895456,16195885.01,2089432.6199999999
Asia Pacific,7,172,7542,111612.61,1051105.9,56823.01534883721,5758049.41,1872015.28
Asia Pacific,8,51,524,4215.82,257446.35,79537.08176470589,1443816.7,330454.11
Asia Pacific,9,148,39203,9687.22,347170.34,51696.24462585034,11620281.51,449352.36
Asia Pacific,10,486,20157,165461.68,55827.74,4614.598780991735,1423588.29,283431.62
Asia Pacific,11,44,337,13.31,30728.579999999998,732509.4790909091,742313.39,396160.29
Asia Pacific,12,153,25049,17435.99,232093.5,18073.283486842105,2087603.59,405909.07
Asia Pacific,NA,29,349,381.26,305.61,698.1148275862068,14318.01,1815.8899999999999
Europe,1,200,2485,40407.99,174795.82,25424.01632653061,3502915.4,671680.92
Europe,2,478,26087,676813.54,1304065.64,44586.07254201681,16713774.35,1667874.71
Europe,3,1274,44008,305139.16,437251.43,10350.983546603475,10521934.92,1236230.73
Europe,4,290,5016,57745.31,1193543.57,50774.60760416667,13867179,2337691.13
Europe,5,694,57023,299112.69,405273.31,14031.76174351585,9131610.58,1252741.97
Europe,6,719,90499,436606.47,175805.27,7000.820663841808,3902422.3,573630.61
Europe,7,225,6648,62794.72,887314.75,69226.28346666666,6448927.27,2109876.35
Europe,8,42,62,713.07,129056.09,82153.27952380953,1599922.9,298604.64
Europe,9,69,1855,11275.85,51093.57,17715.98794117647,1222903.53,139682.11000000002
Europe,10,1014,74183,827288.33,349290.35,10605.065424063116,6527557.27,1687735.04
Europe,11,87,1270,2984.82,47608.26,723755.4779310345,2205167.07,875632.92
Europe,12,258,43791,177966.07,259179.98,25622.52292,4898309.4,576502.49
North America,1,1819,19758,85604.66,383499.71,5954.16856662934,10383750.14,1733868.17
North America,2,2314,71486,522437.52999999997,1035895.21,8054.070727750986,14794566.76,1721003.84
North America,3,8356,167207,529119.34,1017451.99,2829.1169562043797,22149917.34,2949693.14
North America,4,1123,52807,106953.73,2109969.92,19266.976720720722,21614279.55,3544488.65
North America,5,2138,85214,245314.44,522336.29,4709.961218130312,8827945.17,1479253.36
North America,6,13243,656279,2092888.43,1394530.45,2533.2983216351718,24885834.08,4908278.62
North America,7,761,40852,54239.1,1615482.89,31501.702887700536,11087265.51,3377711.74
North America,8,470,1200,8.379999999999999,619763.84,21172.12699360341,3035444,940201.51
North America,9,969,7748,67180.93,429168.88,9038.050849056604,17423912.89,1151608.72
North America,10,9968,132661,1239943.74,462665.21,1540.0255668829163,8522076,2368848.65
North America,11,1353,14619,10000.56,232269.61,168048.66465866467,15675643.55,6055784.24
North America,12,2251,60067,170255.51,914320.46,10881.883881608675,11834270.75,2084252.28
Other,1,7,9,74.08,96.52,376.38714285714286,3314.46,276.03
Other,2,12,16,1.33,496.98,575.9175,7602.74,953.24
Other,3,26,88,674.64,7550.92,5133.4036,68050.61,12441.97
Other,4,49,433,13888.18,437131.47,72325.36204081633,1840931.98,476912
Other,5,9,18,325.53,7520.9800000000005,12507.35888888889,95368.43000000001,14740.16
Other,6,346,1423,11965.32,5438.42,541.5011834319527,108250.55,17889.83
Other,7,2,3,8.46,2.43,157.5,274.68,67.72
Other,8,2,3,0,72,617.405,829.45,212.1
Other,10,192,1654,20035.78,11243.48,2944.2365968586387,220597.27,64600.8
Other,11,8,14,65.78999999999999,1226.31,2970.8975,1866.33,748.1
Other,12,57,342,10287.52,124435.15,23791.220701754384,483659.16,192403.68
