country,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
Antigua and Barbuda,21,170,27.79,324.637,249.71195142857144,4314.143978,758.561998
Argentina,7,9,20.790001,10613.296605,11124.78129,47556.90691,17815.716804
Australia,269,1718,9173.389037571,244620.1020173691,16499.171986713318,1514813.840395538,528325.450202981
Austria,21,425,1593.009287,6977.25072,6210.609155238095,131260.96271,12575.9910773
Bahamas,14,24,54.7500007,0.9740000088,3.2174999585714286,15.68999981,-73.0800011
Belgium,101,3019,13939.3842665,49172.0567547,15804.85712394,636700.491778,167906.97823629
Belize,1,1,0,7,591.89996,60.700001,46.599998
Bermuda,69,6763,12323.52668256,16511.84879178,5179.4600205,134096.457782,28539.31547919
Brazil,83,542,23429.8822079,527393.5202779,57218.84723855422,2205942.084522,613171.168167
Canada,2107,22411,85501.2438155048,568962.7576609558,7371.867792806915,4696284.421780639,1012144.5358632936
Cayman Islands,20,509,425.1249979,78.04799952,149.5523495,1717.2899768,94.68800503
Chile,2,2,0.41799998,60.4780001,802.956555,876.50803,196.19399900000002
China,168,6380,60661.289547861,737018.452863909,39357.91896766988,6994459.878343999,907417.5116563101
Colombia,3,5,0,19984.4082,54899.396,85214.57,31316.3401
Denmark,182,4502,44953.764923898,67833.0402671021,5399.450544208793,818593.0639679,195131.91395518
Finland,182,18390,104221.3105158,60956.805252857,9452.790962758241,1753350.9694761445,216471.8147157
France,738,35111,450372.33808511,838041.282329434,27955.916453102458,13572544.95988308,2181223.75349866
Germany,898,113179,886127.2479444,1530482.718362503,36105.33544258218,20996883.45108168,2755610.12147798
Gibraltar,7,56,0,0.151000001,14.236285585714286,0.027000001,-28.450000199999998
Greece,1,5,21.236,10.828,537.02301,270.34399,8.5889997
"Hong Kong, SAR China",107,2398,11345.883171162,161259.60853822,14085.613698655141,1063790.8482402,276086.2260764904
Iceland,12,63,371.8009922,105.60800003,177.88399927272727,389.907003,-482.72999960000004
India,61,8663,4058.87025725,39011.4423578,9001.299402950819,401941.17753,71458.487593
Indonesia,6,10,0,3089.0688402,3831.604518333333,10226.2889004,4545.6716802
Ireland,435,33558,116956.4613111,99716.261903524,8733.82380651613,2854089.36569091,474587.9609545602
Israel,640,3358,32788.557708071,18953.79336457333,1259.2375511611783,346774.528638048,84818.1859406935
Italy,164,2165,27831.3362506004,328108.51179268,35793.267840781096,3537389.4619116,877033.69349393
Japan,6694,844409,2185680.40006698,3761906.508943061,15686.365304119425,65832433.99518413,7314601.87057211
Jersey,4,13,160.393002,33.8809999,224.0509975,141.82399700000002,-344.646982
Luxembourg,85,609,5202.1450035,54860.2411428,18114.20792,1013119.2169,127802.942209
Malaysia,1,1,1.059,1.609,137.74699,58.000999,6.191
Mexico,12,17,0,5566.639972,15234.677325,88416.51634,19617.50696
Netherlands,456,45684,205671.8996445,221799.48484921,17458.49691469846,4768714.3400209,522359.8662499
New Zealand,30,284,444.19332159,930.8146501,586.8770635357142,18440.55706,3118.783954
Norway,121,1041,10137.0704606,238961.9356334,18728.45408935537,1820476.2537,505214.0506458
Panama,17,479,2694.59905,1750.83394895,1223.8278358529412,17158.70199,4721.518119992
Russian Federation,8,10,10.139001,6804.9958400000005,5522.8050125,32930.31541,14284.72169
Saudi Arabia,15,263,3269.75764,59592.566100000004,67137.61733333333,502334.2544,161348.2812
Singapore,102,3172,4449.1419971,20413.470464708,2755.6351590294116,398676.727382,25698.99414561
South Africa,29,186,1390.19498289,38289.16502102,10580.628492748276,230922.9870006,65229.790699926
South Korea,362,133013,143223.4919872,867005.68847302,27205.92582520166,7267439.669254,1299876.44826874
Spain,54,195,8899.9909702,188530.611621,59211.67286111111,1545380.8697,324273.94572
Sweden,326,22674,181019.8152198,154480.16629746,11231.752665929142,3096614.3498666,403254.1259295
Switzerland,482,36298,412566.65806959,344352.071860587,51696.130071831234,6726282.45749811,1591129.7703409
Taiwan,821,68461,111792.2803892,309844.538910058,4457.656420029269,3908183.8591701,496492.077626796
Thailand,3,3,0,7591.6121,17528.174,18882.0542,13301.4251
Turkey,10,69,348.755112,1638.36666,4290.7371,38839.5983,4021.62549
United Arab Emirates,2,2,0,0,0.059999999,0.025,-0.061000001
United Kingdom,1303,44556,493879.829878,1235996.588073554,46917.304221191844,18187707.970552634,3198933.53048312
United States,42639,1280664,5027207.643345781,10147685.24026445,9710.688864357462,165256531.86177555,31281163.669077516
